,OMEGA,Hi_00REAL,Hi_00IMAG,Hi_01REAL,Hi_01IMAG,Hi_02REAL,Hi_02IMAG,Hi_10REAL,Hi_10IMAG,Hi_11REAL,Hi_11IMAG,Hi_12REAL,Hi_12IMAG,Hi_20REAL,Hi_20IMAG,Hi_21REAL,Hi_21IMAG,Hi_22REAL,Hi_22IMAG
0,6.283185307179586,0.17625241771278832,0.02100478176080967,-0.33205871001376375,-0.015383715997448826,0.17625241771278655,0.021004781760808465,-0.345065273280076,-0.001776967520565467,0.6447770261418679,-0.04337504761843066,-0.34506527328007225,-0.0017769675205635332,0.1762524177127865,0.02100478176081081,-0.33205871001376047,-0.0153837159974512,0.17625241771278471,0.021004781760809603
1,6.347117620248926,0.17605558887631514,0.02097663301892109,-0.3319066401386838,-0.01538927947832238,0.176055588876314,0.020976633018920793,-0.3450380544215345,-0.001798159064422891,0.6451601992883994,-0.04331916302064998,-0.34503805442153224,-0.001798159064422561,0.1760555888763158,0.020976633018920585,-0.33190664013868504,-0.015389279478321348,0.17605558887631464,0.02097663301892028
2,6.411700453787512,0.17585933978661578,0.020946395242249297,-0.3317544732804234,-0.01539316568219728,0.17585933978661403,0.02094639524224959,-0.3450104126539621,-0.001819025679843337,0.6455422039215565,-0.04325906038177293,-0.3450104126539588,-0.0018190256798442934,0.17585933978661558,0.020946395242249206,-0.33175447328042307,-0.015393165682197134,0.17585933978661383,0.020946395242249508
3,6.476940426934567,0.17566371119927263,0.020914083376718275,-0.3316022445425863,-0.015395372577265018,0.17566371119927218,0.020914083376718417,-0.34498235666921373,-0.0018395569594941625,0.6459229589992033,-0.043194769354500936,-0.3449823566692128,-0.0018395569594945476,0.1756637111992729,0.020914083376717962,-0.33160224454258674,-0.015395372577264397,0.17566371119927243,0.020914083376718108
4,6.542844226180004,0.17546874335492238,0.020879713375894397,-0.33144998906002354,-0.015395899075885762,0.17546874335492216,0.02087971337589373,-0.3449538954844381,-0.0018597427782840244,0.6463023845154318,-0.043126321611046466,-0.34495389548443756,-0.0018597427782827758,0.1754687433549232,0.020879713375895115,-0.33144998906002515,-0.015395899075886984,0.175468743354923,0.020879713375894445
5,6.60941860604973,0.1752744759478328,0.020843302180171292,-0.33129774196609796,-0.015394745034362344,0.17527447594783202,0.020843302180171858,-0.3449250384302473,-0.0018795733050850512,0.6466804015633892,-0.04305375080163132,-0.34492503843024597,-0.0018795733050863198,0.17527447594783238,0.020843302180171004,-0.3312977419660972,-0.015394745034361862,0.17527447594783163,0.020843302180171573
6,6.676670389797927,0.17508094809546088,0.020804867694811005,-0.33114553836002925,-0.015391911251339284,0.17508094809546026,0.020804867694810634,-0.3448957951384032,-0.0018990390138878012,0.647056932396155,-0.04297709251070922,-0.3448957951384019,-0.001899039013887209,0.17508094809546124,0.02080486769481081,-0.3311455383600299,-0.01539191125133888,0.17508094809546063,0.02080486769481044
7,6.744606470106364,0.1748881983090388,0.020764428766891788,-0.330993413274392,-0.015387399464875376,0.1748881983090385,0.02076442876689222,-0.34486617552904764,-0.0019181306943280504,0.6474319004855744,-0.04289638421100396,-0.3448661755290472,-0.0019181306943289458,0.17488819830903954,0.020764428766890632,-0.33099341327439324,-0.015387399464873105,0.17488819830903923,0.020764428766891063
8,6.813233809790841,0.17469626446521958,0.02072200516122799,-0.3308414016428075,-0.015381212348164044,0.1746962644652182,0.020722005161226745,-0.34483618979750846,-0.0019368394616203698,0.6478052305789536,-0.04281166521548441,-0.3448361897975055,-0.0019368394616182333,0.17469626446521766,0.020722005161227887,-0.330841401642804,-0.015381212348164098,0.1746962644652163,0.02072200516122664
9,6.882559442514808,0.17450518377881716,0.020677617535301746,-0.33068953826789793,-0.015373353503950606,0.17450518377881843,0.020677617535301847,-0.34480584840070083,-0.0019551567658209253,0.6481768487535419,-0.04272297662737743,-0.3448058484007033,-0.001955156765820838,0.17450518377881757,0.020677617535302437,-0.3306895382678988,-0.015373353503951859,0.17450518377881885,0.020677617535302537
10,6.9525904735102495,0.17431499277672802,0.02063128741328053,-0.33053785778960726,-0.015363827457632132,0.17431499277672843,0.020631287413281414,-0.344775162043211,-0.001973074400459363,0.6485466824687227,-0.04263036128833486,-0.34477516204321196,-0.0019730744004610016,0.174314992776729,0.02063128741328115,-0.3305378577896092,-0.01536382745763318,0.1743149927767294,0.02063128741328204
11,7.023334080305906,0.17412572727298137,0.020583037159163958,-0.33038639465387454,-0.015352639649087231,0.17412572727298062,0.02058303715916269,-0.3447441416630109,-0.00199058451047929,0.648914660615847,-0.04253386372488257,-0.34474414166300915,-0.0019905845104769837,0.17412572727298106,0.020583037159164718,-0.33038639465387404,-0.015352639649088716,0.1741257272729803,0.020583037159163455
12,7.094797513462906,0.17393742234502943,0.02053288994913057,-0.33023518308177857,-0.015339796423253522,0.17393742234503004,0.02053288994913031,-0.3447127984169294,-0.0020076795994931674,0.649280713565644,-0.04243353009326317,-0.34471279841693053,-0.0020076795994925277,0.17393742234502926,0.020532889949130037,-0.33023518308177824,-0.015339796423252533,0.17393742234502987,0.020532889949129773
13,7.166988097317878,0.17375011231127385,0.020480869743152393,-0.33008425703920075,-0.015325305019469826,0.1737501123112729,0.020480869743152542,-0.34468114366587843,-0.0020243525363684745,0.6496447732131616,-0.042329408122802274,-0.34468114366587665,-0.002024352536368969,0.17375011231127405,0.02048086974315255,-0.3300842570392011,-0.015325305019470097,0.1737501123112731,0.020480869743152694
